Quang.k?9/2/2022?07:28?quang?production projects/QLD/AGCOOMBS/QW - Part C/Level 5/Zone 4/1_4mBN_L05-77004_B1.MAJ?LEVEL 5 - ZONE 4?C:/users/quang/premier ducts/premier ducts team site - documents/?
,,29,4311,None,0.6,,11.4,DESIGN,1,DecoiledStraight,866,4311 (Straight),False,,0,2.41177142857143,False,,NULL,NULL,,0,600,500,1400,TDF-1,Galvanised,,,
,,2A,4312,None,0.6,,11.78,DESIGN,1,DecoiledStraight,866,4312 (Straight),False,,0,2.49195,False,,NULL,NULL,,0,600,500,1400,TDF-1,Galvanised,,,
,,2B,4306,None,0.6,,11.4,DESIGN,1,DecoiledStraight,866,4306 (Straight),False,,0,2.41177142857143,False,,NULL,NULL,,0,600,500,1400,TDF-1,Galvanised,,,
,,2C,4307,None,0.6,,11.4,DESIGN,1,DecoiledStraight,866,4307 (Straight),False,,0,2.41177142857143,False,,NULL,NULL,,0,600,500,1400,TDF-1,Galvanised,,,
,,2D,4308,None,0.6,,11.98,DESIGN,1,DecoiledStraight,866,4308 (Straight),False,,0,2.53453557213986,False,,NULL,NULL,,0,600,500,1613,TDF-1,Galvanised,,,
,,2E,4333,None,0.6,,7.61,DESIGN,1,DecoiledStraight,866,4333 (Straight),False,,0,1.60605714285714,False,,NULL,NULL,,0,200,525,1400,TDF-1,Galvanised,,,
,,2F,4272,None,0.6,c/w Block End,8.12,DESIGN,1,DecoiledStraight,866,4272 (Straight),False,,0,1.71495,False,,NULL,NULL,,0,400,350,1400,TDF-1,Galvanised,,,
,,30,,None,0.6,,0.71,DESIGN,1,MachineCut,186,350dia,False,,0,0.15157195308503,True,,NULL,NULL,,0,349,350,135,Bell Mouth Spigot,Galvanised,,,
,,31,,None,0.6,,0.61,DESIGN,1,MachineCut,186,300dia,False,,0,0.129796289531208,True,,NULL,NULL,,0,299,300,135,Bell Mouth Spigot,Galvanised,,,
,,32,,None,0.6,,0.61,DESIGN,1,MachineCut,186,300dia,False,,0,0.129796289531208,True,,NULL,NULL,,0,299,300,135,Bell Mouth Spigot,Galvanised,,,
,,33,,None,0.6,,0.61,DESIGN,1,MachineCut,186,300dia,False,,0,0.129796289531208,True,,NULL,NULL,,0,299,300,135,Bell Mouth Spigot,Galvanised,,,
,,34,4269,None,0.6,,11.78,DESIGN,1,DecoiledStraight,866,4269 (Straight),False,,0,2.49195,False,,NULL,NULL,,0,600,500,1400,TDF-1,Galvanised,,,
,,35,4265,None,0.6,,19.14,DESIGN,1,MachineCut,17,4265 (Radius Bend),False,,0,4.02482322910104,False,,NULL,NULL,,0,500,600,45,TDF-1,Galvanised,,,
,,36,4266,None,0.6,,12.34,DESIGN,1,MachineCut,866,4266 (Straight),False,,0,2.60122941308265,False,,NULL,NULL,,0,600,500,765,TDF-1,Galvanised,,,
,,37,4267,None,0.6,,7.5,DESIGN,1,MachineCut,17,4267 (Radius Bend),False,,0,1.57823972714143,False,,NULL,NULL,,0,500,600,45,TDF-1,Galvanised,,,
